date,1: zhangdiefu,2: zhangdiefu,3: zhangdiefu,4: zhangdiefu,5: zhangdiefu,6: zhangdiefu,7: zhangdiefu,8: zhangdiefu,9: zhangdiefu,10: zhangdiefu,13: zhangdiefu,14: zhangdiefu,15: zhangdiefu,16: zhangdiefu,17: zhangdiefu,19: zhangdiefu,20: zhangdiefu,21: zhangdiefu,22: zhangdiefu,23: zhangdiefu,24: zhangdiefu,25: zhangdiefu,26: zhangdiefu,27: zhangdiefu
2017/5/25,0.00170503,,-0.000328427,,,,,,,,,,,,,,,,,,,,,
2017/5/24,-0.00255102,-0.015806112,-0.004636096,0,-0.010169492,,0,-0.034520292,-0.020586545,,0.014628875,0.054329372,0.022346369,-0.147058824,0.040816327,0.012195122,0,0,0,0,,0,0,
2017/5/23,0.007712082,-0.00524109,-0.013775316,0,0,,0,0.025684941,-0.002668422,,-0.004880066,-0.046925566,0.084848485,-0.014492754,-0.032894737,-0.154639175,0,0,0,0,,0,0,
2017/5/22,-0.009337861,-0.00209205,-0.003169966,0,-0.008403361,,0,-0.00071657,-0.012984455,,-0.012335593,0.001620746,-0.040697674,0.022222222,-0.006535948,0,0,-0.011702128,0,0,,0,0,
2017/5/21,-0.018333333,,,,,,,,,,-0.000979352,-0.0128,0.042424242,-0.02173913,0.013245033,0.005181347,,,,,,,,
2017/5/20,0.009251472,,,,,,,,,,0.031744695,0.003210273,0.03125,0.095238095,0.027210884,-0.005154639,,,,,,,,
2017/5/19,0.011914894,-0.001044932,0.00678001,0,-0.005016722,,,0.018852047,0.022395285,,-0.033921744,0.033167496,0.012658228,-0.118881119,0,-0.067307692,0,0.054107093,0,0,,0,0,
2017/5/18,-0.003392706,-0.003125,0.024592387,0,0,,,-0.017712406,-0.009819849,,-0.005662056,-0.025848142,-0.048192771,0.007042254,0.122137405,0.077720207,0,0,0,0,,-0.035714286,0,
2017/5/17,0.019896194,-0.020408163,0.046818311,0,0,,0,0.017854265,0.011896104,,0.041270109,0.045608108,-0.017751479,0,-0.15483871,-0.106481481,0,0,0,0,,0,0,
2017/5/16,-0.026936027,-0.014084507,0.04004725,0,-0.019672131,,,0.009252796,0.018957486,,-0.018922492,-0.0528,-0.066298343,-0.02739726,0.25,0.2,0,0,0,0,,-0.066666667,0,
